sex,caring_for_household_members,caring_for_non_household_members,consumer_purchases,eating_and_drinking,education,government_services_and_civic_obligations,household_activities,household_services,personal_care_activities,professional_and_personal_care_services,religious_and_spiritual_activities,socializing_relaxing_and_leisure,sports_exercise_and_recreation,telephone_calls,traveling,volunteer_activities,work_and_work_related_activities
male,0,5,45,65,0,0,40,0,705,0,0,294,90,0,131,0,65
male,0,0,0,150,0,0,330,0,496,0,0,399,0,0,0,0,0
female,0,5,50,105,0,0,225,0,490,0,0,405,0,0,160,0,0
male,0,0,0,0,0,0,150,0,480,0,0,810,0,0,0,0,0
male,1,0,0,0,0,0,0,0,600,0,0,779,0,0,60,0,0
female,0,0,200,0,0,0,330,0,720,0,0,110,0,0,80,0,0
male,0,0,0,195,0,0,0,0,690,0,0,357,180,0,18,0,0
male,0,0,0,60,0,0,685,0,405,0,0,290,0,0,0,0,0
female,195,0,37,45,0,0,20,0,400,0,0,220,0,5,58,0,460
female,240,0,0,120,0,0,90,0,770,0,0,210,0,0,10,0,0
male,0,0,5,90,0,0,0,0,480,0,0,740,60,0,65,0,0
male,30,90,20,60,0,0,120,0,398,0,0,95,0,0,22,0,605
female,0,0,0,0,0,0,240,0,740,0,0,380,0,60,20,0,0
female,0,0,0,45,0,0,84,0,635,0,0,466,180,0,30,0,0
female,0,149,5,45,0,0,160,0,690,0,0,304,0,0,87,0,0
female,0,0,30,175,0,0,220,0,630,0,0,320,0,15,50,0,0
male,0,0,125,58,0,0,322,0,545,0,0,345,0,0,45,0,0
female,0,0,0,90,30,0,160,0,690,0,0,430,0,20,20,0,0
female,0,0,10,60,0,0,340,0,440,0,0,130,0,0,80,0,380
female,0,0,15,120,0,0,45,0,570,0,0,185,0,0,40,0,445
female,0,0,0,135,0,0,330,0,570,0,0,135,120,0,30,0,0
male,0,0,0,65,0,0,32,0,538,0,0,581,60,0,0,0,0
female,0,8,45,120,0,0,5,0,653,0,80,421,0,57,51,0,0
female,0,290,5,60,0,0,0,0,610,0,0,355,0,0,120,0,0
female,0,0,30,37,0,0,185,0,718,0,0,463,0,0,7,0,0
female,0,0,0,90,0,0,40,0,450,0,0,590,0,0,270,0,0
female,230,0,0,75,0,0,425,0,530,0,0,150,0,30,0,0,0
